file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ByteOutputStream.java,com.topjohnwu.superuser.internal.ByteOutputStream,class,2,5,3,2,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl,class,13,19,6,13,33,6,0,28,0,0.5555556,0.71428573,0.71428573,9,0,6,2,0,1,7,0,0,1,7,0,0,5,0,2,6,0,7,171,10,0,1,9,5,14,4,21,1,14,3,0,2,0,82,0,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\BinderHolder.java,com.topjohnwu.superuser.internal.BinderHolder,class,3,7,4,3,3,1,4,3,1,0.33333334,0.33333334,0.33333334,3,0,1,0,1,1,3,1,1,0,1,0,0,1,0,0,1,0,1,12,0,0,0,0,0,0,2,1,0,1,0,0,0,0,9,1024,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl$NoCloseInputStream,innerclass,0,0,0,0,3,3,0,1,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\IOResult.java,com.topjohnwu.superuser.internal.IOResult$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl$NoCloseOutputStream,innerclass,2,2,0,2,5,3,0,3,6,0.0,0.0,0.0,4,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,10,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$ResultCallback,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\AIDLService.java,com.topjohnwu.libsuexample.AIDLService$TestIPC,innerclass,5,5,0,5,4,2,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Builder,innerclass,6,6,0,6,8,1,0,1,28,0.0,0.0,0.0,8,1,8,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,153,1033,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$ExampleInitializer,innerclass,5,5,0,5,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,8,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileContainer.java,com.topjohnwu.superuser.internal.FileContainer,class,3,4,1,3,11,1,0,9,0,0.5,1.0,1.0,4,0,0,0,0,4,4,0,0,4,3,1,0,3,0,0,2,0,0,43,5,1,6,0,0,1,2,15,0,14,1,0,0,0,29,0,0
