file,class,type,rfc,lcom,loc
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\security\BasicPrincipal.java,com.taobao.arthas.core.security.BasicPrincipal,class,3,0,42
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\security\SecurityAuthenticatorImplTest.java,com.taobao.arthas.core.security.SecurityAuthenticatorImplTest,class,5,1,17
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\ShellServerOptions.java,com.taobao.arthas.core.shell.ShellServerOptions,class,1,50,60
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous2,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous3,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous1,anonymous,9,0,15
E:\OOD\projectsnew\arthas-master\agent\src\main\java\com\taobao\arthas\agent334\AgentBootstrap.java,com.taobao.arthas.agent334.AgentBootstrap$Anonymous1,anonymous,2,0,10
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\concurrent\ReusableIterator.java,com.taobao.arthas.common.concurrent.ReusableIterator,interface,0,0,3
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\ClassDumpTransformer.java,com.taobao.arthas.core.command.klass100.ClassDumpTransformer,class,16,0,56
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\TraceView.java,com.taobao.arthas.core.command.view.TraceView$Callback,interface,0,0,3
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\VmToolCommand.java,com.taobao.arthas.core.command.monitor200.VmToolCommand$InstancesWrapper,innerclass,0,0,12
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\TermServer.java,com.taobao.arthas.core.shell.term.TermServer,class,4,28,17
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\BuiltinCommandPack.java,com.taobao.arthas.core.command.BuiltinCommandPack,class,10,1,76
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\ArthasProperties.java,com.alibaba.arthas.tunnel.server.app.configuration.ArthasProperties,class,0,20,97
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\telnet\TelnetOption.java,org.apache.commons.net.telnet.TelnetOption,class,1,3,60
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\TunnelClient.java,com.alibaba.arthas.tunnel.client.TunnelClient$Anonymous2,anonymous,2,0,7
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\TunnelClient.java,com.alibaba.arthas.tunnel.client.TunnelClient$Anonymous1,anonymous,4,0,9
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\EnhancerAffectVO.java,com.taobao.arthas.core.command.model.EnhancerAffectVO,class,11,49,70
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\SearchClassModel.java,com.taobao.arthas.core.command.model.SearchClassModel,class,0,94,61
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorCommand.java,com.taobao.arthas.core.command.monitor200.MonitorCommand$Anonymous1,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\RetransformCommand.java,com.taobao.arthas.core.command.klass100.RetransformCommand,class,65,92,344
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\ProfilerCommand.java,com.taobao.arthas.core.command.monitor200.ProfilerCommand$Anonymous1,anonymous,4,0,13
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorCommand.java,com.taobao.arthas.core.command.monitor200.MonitorCommand$Anonymous2,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\system\impl\ProcessImpl.java,com.taobao.arthas.core.shell.system.impl.ProcessImpl,class,39,317,498
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\metrics\RateCounter.java,com.taobao.arthas.core.util.metrics.RateCounter,class,9,3,59
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\api\HttpApiHandler.java,com.taobao.arthas.core.shell.term.impl.http.api.HttpApiHandler$ApiJobHandler,innerclass,3,0,27
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\GetStaticCommand.java,com.taobao.arthas.core.command.klass100.GetStaticCommand,class,39,27,121
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\config\Ssl.java,com.taobao.arthas.core.config.Ssl,class,1,42,47
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MBeanCommand.java,com.taobao.arthas.core.command.monitor200.MBeanCommand$MBeanInterruptHandler,innerclass,2,0,11
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\matcher\GroupMatcher.java,com.taobao.arthas.core.util.matcher.GroupMatcher$And,innerclass,3,0,17
